,Attributes,numPoss,%TIME,%TIMERANK,PTS,PPP,PPPRANK,PPPRATING,FGATT,FGMADE,FGMISS,FG%,EFG%,TS%,TSA,TO%,%FT,FTA/FGA,%SF,SCORE%,2 FGATT,2 FGMADE,2 FGMISS,2FG%,3FGATT,3 FGMADE,3 FGMISS,3FG%,3PA/FGA,year,ID,special_year
10,To Transition,50,0.194,28%,47,0.94,0.53,Good,35,18,17,0.514,0.529,0.537,44,0.12,0.22,0.57,0.16,0.5,27,17,10,0.63,8,1,7,0.125,0.23,15,def,15
11,To Half Court,208,0.806,60%,180,0.865,0.53,Good,107,45,62,0.421,0.472,0.596,151,0.236,0.255,0.93,0.053,0.433,70,34,36,0.486,37,11,26,0.297,0.35,15,def,15
12,All Possessions,2197,1.0,-,1842,0.838,0.83,Very Good,1513,654,859,0.432,0.482,0.527,1749,0.195,0.133,0.35,0.081,0.4,1055,504,551,0.478,458,150,308,0.328,0.3,16,def,16
13,Transition,365,0.166,47%,348,0.953,0.66,Very Good,244,122,122,0.5,0.551,0.595,292,0.192,0.164,0.45,0.137,0.452,184,97,87,0.527,60,25,35,0.417,0.25,16,def,16
14,Overall Half Court,1832,0.834,54%,1494,0.816,0.83,Very Good,1269,532,737,0.419,0.468,0.513,1457,0.195,0.127,0.34,0.07,0.39,871,407,464,0.467,398,125,273,0.314,0.31,16,def,16
15,Out of Bounds (End),169,0.092,80%,120,0.71,0.88,Excellent,115,46,69,0.4,0.448,0.483,124,0.266,0.071,0.18,0.053,0.325,83,35,48,0.422,32,11,21,0.344,0.28,16,def,16
16,Out of Bounds (Side),115,0.063,95%,89,0.774,0.61,Good,81,31,50,0.383,0.457,0.491,91,0.209,0.096,0.27,0.07,0.357,52,19,33,0.365,29,12,17,0.414,0.36,16,def,16
17,After Time Outs,241,0.132,68%,214,0.888,0.4,Average,173,75,98,0.434,0.494,0.543,197,0.174,0.12,0.32,0.083,0.411,119,54,65,0.454,54,21,33,0.389,0.31,16,def,16
18,Last 4 Sec. of Shot Clock,131,0.072,98%,84,0.641,0.68,Very Good,111,33,78,0.297,0.329,0.354,118,0.099,0.053,0.15,0.046,0.305,68,26,42,0.382,43,7,36,0.163,0.39,16,def,16
19,Man Defense,1627,0.888,45%,1319,0.811,0.81,Very Good,1112,469,643,0.422,0.467,0.514,1284,0.201,0.131,0.35,0.068,0.39,781,369,412,0.472,331,100,231,0.302,0.3,16,def,16
20,Zone Defense,205,0.112,49%,175,0.854,0.68,Very Good,157,63,94,0.401,0.481,0.506,173,0.151,0.093,0.23,0.083,0.385,90,38,52,0.422,67,25,42,0.373,0.43,16,def,16
21,Press,581,0.264,93%,485,0.835,0.61,Good,373,163,210,0.437,0.48,0.544,446,0.225,0.153,0.45,0.071,0.406,263,131,132,0.498,110,32,78,0.291,0.29,16,def,16
22,To Transition,87,0.15,16%,83,0.954,0.44,Average,53,30,23,0.566,0.604,0.648,64,0.264,0.161,0.47,0.115,0.471,42,26,16,0.619,11,4,7,0.364,0.21,16,def,16
23,To Half Court,494,0.85,74%,402,0.814,0.58,Good,320,133,187,0.416,0.459,0.526,382,0.219,0.152,0.44,0.063,0.395,221,105,116,0.475,99,28,71,0.283,0.31,16,def,16
24,All Possessions,2015,1.0,-,1725,0.856,0.77,Very Good,1405,602,803,0.428,0.489,0.53,1628,0.182,0.14,0.36,0.085,0.401,900,431,469,0.479,505,171,334,0.339,0.36,17,def,
