Rank,Title,URL,Score,Genres,Episodes,Premiered,Studio,Type,Source
1395,Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi,https://myanimelist.net/anime/1015/Full_Metal_Panic_The_Second_Raid__Wari_to_Hima_na_Sentaichou_no_Ichinichi,7.65,Comedy,1,Premiered season not found,Kyoto Animation,Special,Manga
1396,Giovanni no Shima,https://myanimelist.net/anime/19115/Giovanni_no_Shima,7.65,"Award Winning, Drama, Historical",1,Premiered season not found,Production I.G,Movie,Source not found
1397,Hai to Gensou no Grimgar,https://myanimelist.net/anime/31859/Hai_to_Gensou_no_Grimgar,7.65,"Action, Adventure, Drama, Fantasy, Isekai",12,Winter 2016,A-1 Pictures,TV,Light novel
1398,Hanhua Riji 3rd Season,https://myanimelist.net/anime/50401/Hanhua_Riji_3rd_Season,7.65,"Comedy, Supernatural",12,Premiered season not found,L²Studio,ONA,Source not found
1399,Hanma Baki: Son of Ogre,https://myanimelist.net/anime/42940/Hanma_Baki__Son_of_Ogre,7.65,"Sports, Combat Sports, Gore, Shounen",12,Premiered season not found,TMS Entertainment,ONA,Manga
1400,Kengan Ashura Season 2,https://myanimelist.net/anime/51369/Kengan_Ashura_Season_2,7.65,"Action, Martial Arts",12,Premiered season not found,Larx Entertainment,ONA,Web manga
1401,Kimi to Boku.,https://myanimelist.net/anime/10460/Kimi_to_Boku,7.65,"Slice of Life, Iyashikei, School, Shounen",13,Fall 2011,J.C.Staff,TV,Manga
1402,Kuroko no Basket NG-shuu,https://myanimelist.net/anime/15487/Kuroko_no_Basket_NG-shuu,7.65,"Comedy, Sports, School, Team Sports, Shounen",9,Premiered season not found,Production I.G,Special,Manga
1403,Kuroshitsuji,https://myanimelist.net/anime/4898/Kuroshitsuji,7.65,"Action, Mystery, Supernatural, Historical, Mythology, Shounen",24,Fall 2008,A-1 Pictures,TV,Manga
1404,Mahou Shoujo ni Akogarete,https://myanimelist.net/anime/54722/Mahou_Shoujo_ni_Akogarete,7.65,"Action, Comedy, Girls Love, Ecchi, Mahou Shoujo",13,Winter 2024,Asahi Production,TV,Web manga
1405,Meitantei Conan Movie 10: Tantei-tachi no Requiem Recap,https://myanimelist.net/anime/7305/Meitantei_Conan_Movie_10__Tantei-tachi_no_Requiem_Recap,7.65,"Adventure, Comedy, Mystery, Detective, Shounen",1,Premiered season not found,TMS Entertainment,TV Special,Manga
1406,Mitsudomoe Zouryouchuu!,https://myanimelist.net/anime/9510/Mitsudomoe_Zouryouchuu,7.65,"Comedy, Gag Humor, School, Shounen",8,Winter 2011,Bridge,TV,Manga
1407,Mob Psycho 100: Dai Ikkai Rei toka Soudansho Ian Ryokou - Kokoro Mitasu Iyashi no Tabi,https://myanimelist.net/anime/39651/Mob_Psycho_100__Dai_Ikkai_Rei_toka_Soudansho_Ian_Ryokou_-_Kokoro_Mitasu_Iyashi_no_Tabi,7.65,"Action, Comedy, Supernatural",1,Premiered season not found,Bones,OVA,Source not found
1408,Natsume Yuujinchou: Nyanko-sensei to Hajimete no Otsukai,https://myanimelist.net/anime/18849/Natsume_Yuujinchou__Nyanko-sensei_to_Hajimete_no_Otsukai,7.65,"Slice of Life, Supernatural, Iyashikei, Mythology, Shoujo",1,Premiered season not found,Brain's Base,Special,Manga
1409,Non Non Biyori: Okinawa e Ikukoto ni Natta,https://myanimelist.net/anime/21667/Non_Non_Biyori__Okinawa_e_Ikukoto_ni_Natta,7.65,"Slice of Life, CGDCT, Iyashikei, School, Seinen",1,Premiered season not found,SILVER LINK.,OVA,Manga
1410,Seikai no Senki,https://myanimelist.net/anime/396/Seikai_no_Senki,7.65,"Action, Romance, Sci-Fi, Military, Space",13,Spring 2000,Sunrise,TV,Light novel
1411,Shin Mazinger Shougeki! Z-hen,https://myanimelist.net/anime/5485/Shin_Mazinger_Shougeki_Z-hen,7.65,"Action, Drama, Mecha, Super Power, Shounen",26,Spring 2009,Bee Media,TV,Manga
1412,Shirobako Movie,https://myanimelist.net/anime/37804/Shirobako_Movie,7.65,"Comedy, Drama, Adult Cast, Otaku Culture, Workplace",1,Premiered season not found,P.A. Works,Movie,Source not found
1413,Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san,https://myanimelist.net/anime/54744/Tokidoki_Bosotto_Russia-go_de_Dereru_Tonari_no_Alya-san,7.65,"Comedy, Romance, School",12,Summer 2024,Doga Kobo,TV,Light novel
1414,Tondemo Skill de Isekai Hourou Meshi,https://myanimelist.net/anime/53446/Tondemo_Skill_de_Isekai_Hourou_Meshi,7.65,"Adventure, Comedy, Fantasy, Gourmet, Isekai",12,Winter 2023,MAPPA,TV,Light novel
1415,Tsuritama,https://myanimelist.net/anime/12883/Tsuritama,7.65,"Comedy, Sci-Fi",12,Spring 2012,A-1 Pictures,TV,Source not found
1416,Sugar Apple Fairy Tale Part 2,https://myanimelist.net/anime/54842/Sugar_Apple_Fairy_Tale_Part_2,7.64,"Adventure, Drama, Fantasy, Romance, Visual Arts, Shoujo",12,Summer 2023,J.C.Staff,TV,Light novel
1417,Tokyo Revengers: Seiya Kessen-hen,https://myanimelist.net/anime/50608/Tokyo_Revengers__Seiya_Kessen-hen,7.64,"Action, Drama, Delinquents, Time Travel, Shounen",13,Winter 2023,LIDENFILMS,TV,Manga
1418,Working!!,https://myanimelist.net/anime/6956/Working,7.64,"Comedy, Love Status Quo, Workplace, Seinen",13,Spring 2010,A-1 Pictures,TV,4-koma manga
1419,Yuuki Yuuna wa Yuusha de Aru: Yuusha no Shou,https://myanimelist.net/anime/34445/Yuuki_Yuuna_wa_Yuusha_de_Aru__Yuusha_no_Shou,7.64,"Drama, Mahou Shoujo",6,Fall 2017,Studio Gokumi,TV,Source not found
1420,5-toubun no Hanayome,https://myanimelist.net/anime/38101/5-toubun_no_Hanayome,7.64,"Comedy, Romance, Harem, School, Shounen",12,Winter 2019,Tezuka Productions,TV,Manga
1421,Aggressive Retsuko (ONA),https://myanimelist.net/anime/36904/Aggressive_Retsuko_ONA,7.64,"Comedy, Anthropomorphic, Workplace",10,Premiered season not found,Fanworks,ONA,Source not found
1422,Arashi no Yoru ni,https://myanimelist.net/anime/1961/Arashi_no_Yoru_ni,7.64,"Adventure, Comedy, Drama, Fantasy, Anthropomorphic",1,Premiered season not found,Group TAC,Movie,Source not found
1423,Chibi Maruko-chan,https://myanimelist.net/anime/951/Chibi_Maruko-chan,7.64,"Comedy, Shoujo",142,Winter 1990,Nippon Animation,TV,Manga
1424,Code Geass: Hangyaku no Lelouch II - Handou,https://myanimelist.net/anime/34439/Code_Geass__Hangyaku_no_Lelouch_II_-_Handou,7.64,"Action, Sci-Fi, Mecha, Military, School, Super Power",1,Premiered season not found,Sunrise,Movie,Source not found
1425,Date A Bullet: Nightmare or Queen,https://myanimelist.net/anime/42423/Date_A_Bullet__Nightmare_or_Queen,7.64,"Action, Sci-Fi, Isekai",1,Premiered season not found,Geek Toys,Movie,Light novel
1426,Digimon Tamers,https://myanimelist.net/anime/874/Digimon_Tamers,7.64,"Adventure, Comedy, Fantasy, Isekai",51,Spring 2001,Toei Animation,TV,Source not found
1427,Drifters: Special Edition,https://myanimelist.net/anime/33032/Drifters__Special_Edition,7.64,"Action, Adventure, Comedy, Fantasy, Adult Cast, Gore, Historical, Isekai, Military, Samurai, Seinen",1,Premiered season not found,Hoods Entertainment,OVA,Manga
1428,Gakuen Alice,https://myanimelist.net/anime/74/Gakuen_Alice,7.64,"Comedy, School, Super Power, Shoujo",26,Fall 2004,Group TAC,TV,Manga
1429,Hachimitsu to Clover Specials,https://myanimelist.net/anime/644/Hachimitsu_to_Clover_Specials,7.64,"Comedy, Drama, Romance, Adult Cast, Visual Arts, Josei",2,Premiered season not found,J.C.Staff,Special,Manga
1430,Jujutsu Kaisen 2nd Season Recaps,https://myanimelist.net/anime/56243/Jujutsu_Kaisen_2nd_Season_Recaps,7.64,"Action, Supernatural, School, Shounen",2,Premiered season not found,MAPPA,TV Special,Manga
1431,Kami nomi zo Shiru Sekai,https://myanimelist.net/anime/8525/Kami_nomi_zo_Shiru_Sekai,7.64,"Comedy, Romance, Supernatural, Harem, Otaku Culture, Shounen",12,Fall 2010,Manglobe,TV,Manga
1432,Kidou Senshi Gundam Unicorn RE:0096,https://myanimelist.net/anime/32792/Kidou_Senshi_Gundam_Unicorn_RE_0096,7.64,"Action, Drama, Sci-Fi, Mecha, Military, Space",22,Spring 2016,Sunrise,TV,Source not found
1433,Machikado Mazoku,https://myanimelist.net/anime/39071/Machikado_Mazoku,7.64,"Comedy, CGDCT, Mahou Shoujo, School",12,Summer 2019,J.C.Staff,TV,4-koma manga
1434,Minami-ke,https://myanimelist.net/anime/2963/Minami-ke,7.64,"Comedy, CGDCT, School, Seinen",13,Fall 2007,Daume,TV,Manga
1435,Minami-ke Tadaima,https://myanimelist.net/anime/14511/Minami-ke_Tadaima,7.64,"Comedy, CGDCT, School, Seinen",13,Winter 2013,feel.,TV,Manga
1436,Nezha Zhi Mo Tong Jiang Shi,https://myanimelist.net/anime/40111/Nezha_Zhi_Mo_Tong_Jiang_Shi,7.64,"Action, Comedy, Drama, Fantasy, Historical",1,Premiered season not found,October Media,Movie,Source not found
1437,Pandora Hearts,https://myanimelist.net/anime/5530/Pandora_Hearts,7.64,"Adventure, Fantasy, Mystery, Shounen",25,Spring 2009,Xebec,TV,Manga
1438,Psycho-Pass Movie: Providence,https://myanimelist.net/anime/52747/Psycho-Pass_Movie__Providence,7.64,"Action, Mystery, Sci-Fi, Suspense, Adult Cast, Detective, Psychological",1,Premiered season not found,Production I.G,Movie,Source not found
1439,Rokuhou-dou Yotsuiro Biyori,https://myanimelist.net/anime/36513/Rokuhou-dou_Yotsuiro_Biyori,7.64,"Gourmet, Slice of Life, Adult Cast, Iyashikei, Workplace, Seinen",12,Spring 2018,Zexcs,TV,Manga
